method,seed,step,room,room_name,action,external_reward,prediction_error,learning_progress,empowerment,utility,tau,boredom,mode_shift,epsilon,action_entropy,shaped_reward
aed,0,0,0,noisy_tv,0,0.0,1.0,0.0,0.0,0.0,0.29875,0.29875,0.0,0.05,0.15405767236812593,0.0
aed,0,1,0,noisy_tv,0,0.0,1.0,0.0,0.0,0.0,0.29750625,0.59326875,0.0,0.05,0.15405767236812593,0.0
aed,0,2,0,noisy_tv,0,0.0,1.0,0.0,0.0,0.0,0.29626871875,0.8836047812500001,0.0,0.05,0.15405767236812593,0.0
aed,0,3,0,noisy_tv,0,0.0,0.6666666666666667,0.01666666666666672,0.0,0.01666666666666672,0.2951207084895833,1.1532227752604167,0.0,0.05,0.15405767236812593,0.01666666666666672
aed,0,4,0,noisy_tv,0,0.0,1.0,-0.0008333333333333526,0.0,-0.0008333333333333526,0.29389510494713544,1.4364189857882814,0.0,0.05,0.15405767236812593,-0.0008333333333333526
aed,0,5,0,noisy_tv,0,0.0,0.8,0.009208333333333374,0.0,0.009208333333333374,0.29272167108906644,1.7055681336861317,0.0,0.05,0.15405767236812593,0.009208333333333374
aed,0,6,0,noisy_tv,0,0.0,0.6666666666666667,0.015414583333333343,0.0,0.015414583333333343,0.29158513565028776,1.9646830046662247,0.0,0.05,0.15405767236812593,0.015414583333333343
aed,0,7,0,noisy_tv,0,0.0,1.0,-0.0020228125000000263,0.0,-0.0020228125000000263,0.2903772099720363,2.237436197091599,0.0,0.05,0.15405767236812593,-0.0020228125000000263
aed,0,8,0,noisy_tv,0,0.0,1.0,-0.0019216718750000306,0.0,-0.0019216718750000306,0.2891753239221761,2.506158830917859,0.0,0.05,0.15405767236812593,-0.0019216718750000306
aed,0,9,0,noisy_tv,0,0.0,0.8888888888888888,0.0037299672743055234,0.0,0.0037299672743055234,0.28799809713893676,2.765365372473312,0.0,0.05,0.15405767236812593,0.0037299672743055234
aed,0,10,0,noisy_tv,0,0.0,1.0,-0.0020120866449653274,0.0,-0.0020120866449653274,0.2868081066532421,3.0265319120467864,0.0,0.05,0.15405767236812593,-0.0020120866449653274
aed,0,11,0,noisy_tv,0,0.0,0.9090909090909091,0.002633972232737536,0.0,0.002633972232737536,0.28563723598113955,3.2792698566747207,0.0,0.05,0.15405767236812593,0.002633972232737536
aed,0,12,0,noisy_tv,2,0.0,1.0,-0.002043180924353849,0.0,-0.002043180924353849,0.2844590498012339,3.532979388833561,0.0,0.05,0.15405767236812593,-0.002043180924353849
aed,0,13,0,noisy_tv,0,0.0,0.9166666666666666,0.0022256447885304897,0.0,0.0022256447885304897,0.28329788277617035,3.7787218329328653,0.0,0.05,0.15405767236812593,0.0022256447885304897
