method,seed,steps,occ_0,occ_1,occ_2,escape_time,first_puzzle_contact,mode_shifts,external_reward
aed_fixed_tau,0,3000,0.014333333333333333,0.7816666666666666,0.204,44.0,44.0,1.0,1742.0
aed_fixed_tau,1,3000,0.01633333333333333,0.9666666666666667,0.017,50.0,50.0,1.0,2849.0
aed_fixed_tau,2,3000,0.015,0.972,0.013,46.0,46.0,1.0,2879.0
aed_fixed_tau,3,3000,0.016,0.8853333333333333,0.09866666666666667,49.0,49.0,1.0,2598.0
aed_fixed_tau,4,3000,0.014,0.9656666666666667,0.02033333333333333,43.0,43.0,1.0,2836.0
aed_fixed_tau,5,3000,0.013666666666666667,0.967,0.019333333333333334,42.0,42.0,1.0,2843.0
aed_fixed_tau,6,3000,0.027,0.9536666666666667,0.019333333333333334,82.0,82.0,1.0,2810.0
aed_fixed_tau,7,3000,0.002,0.9856666666666667,0.012333333333333333,7.0,7.0,0.0,2920.0
aed_fixed_tau,8,3000,0.008,0.974,0.018,25.0,25.0,1.0,2871.0
aed_fixed_tau,9,3000,0.0036666666666666666,0.9793333333333333,0.017,12.0,12.0,1.0,2894.0
aed_fixed_tau,10,3000,0.014666666666666666,0.9686666666666667,0.016666666666666666,45.0,45.0,1.0,2856.0
aed_fixed_tau,11,3000,0.001,0.983,0.016,4.0,4.0,1.0,2902.0
aed_fixed_tau,12,3000,0.0033333333333333335,0.9803333333333333,0.01633333333333333,11.0,11.0,0.0,2892.0
aed_fixed_tau,13,3000,0.017666666666666667,0.963,0.019333333333333334,54.0,54.0,1.0,2831.0
aed_fixed_tau,14,3000,0.018666666666666668,0.9593333333333334,0.022,57.0,57.0,1.0,2811.0
aed_fixed_tau,15,3000,0.001,0.9786666666666667,0.02033333333333333,4.0,4.0,0.0,2875.0
aed_fixed_tau,16,3000,0.014,0.9686666666666667,0.017333333333333333,43.0,43.0,1.0,2854.0
aed_fixed_tau,17,3000,0.003,0.9806666666666667,0.01633333333333333,10.0,10.0,0.0,2892.0
aed_fixed_tau,18,3000,0.005,0.9773333333333334,0.017666666666666667,16.0,16.0,0.0,2881.0
aed_fixed_tau,19,3000,0.014,0.963,0.023,43.0,43.0,1.0,2821.0
aed_high_threshold,0,3000,0.04733333333333333,0.9363333333333334,0.01633333333333333,143.0,143.0,0.0,2759.0
aed_high_threshold,1,3000,0.024333333333333332,0.96,0.015666666666666666,74.0,74.0,0.0,2832.0
aed_high_threshold,2,3000,0.01633333333333333,0.9743333333333334,0.009333333333333334,50.0,50.0,0.0,2894.0
aed_high_threshold,3,3000,0.034333333333333334,0.9476666666666667,0.018,104.0,104.0,0.0,2789.0
aed_high_threshold,4,3000,0.085,0.8983333333333333,0.016666666666666666,256.0,256.0,0.0,2644.0
aed_high_threshold,5,3000,0.015333333333333332,0.9673333333333334,0.017333333333333333,47.0,47.0,0.0,2850.0
aed_high_threshold,6,3000,0.05,0.9343333333333333,0.015666666666666666,151.0,151.0,0.0,2757.0
aed_high_threshold,7,3000,0.002,0.9856666666666667,0.012333333333333333,7.0,7.0,0.0,2920.0
aed_high_threshold,8,3000,0.008,0.9766666666666667,0.015333333333333332,25.0,25.0,0.0,2884.0
aed_high_threshold,9,3000,0.0036666666666666666,0.983,0.013333333333333334,12.0,12.0,0.0,2910.0
aed_high_threshold,10,3000,0.03233333333333333,0.952,0.015666666666666666,98.0,98.0,0.0,2809.0
aed_high_threshold,11,3000,0.001,0.9843333333333333,0.014666666666666666,4.0,4.0,0.0,2909.0
aed_high_threshold,12,3000,0.0033333333333333335,0.9803333333333333,0.01633333333333333,11.0,11.0,0.0,2892.0
aed_high_threshold,13,3000,0.024333333333333332,0.9596666666666667,0.016,74.0,74.0,0.0,2830.0
aed_high_threshold,14,3000,0.03166666666666667,0.948,0.02033333333333333,96.0,96.0,0.0,2782.0
aed_high_threshold,15,3000,0.001,0.9786666666666667,0.02033333333333333,4.0,4.0,0.0,2875.0
aed_high_threshold,16,3000,0.051333333333333335,0.9333333333333333,0.015333333333333332,155.0,155.0,0.0,2753.0
aed_high_threshold,17,3000,0.003,0.9806666666666667,0.01633333333333333,10.0,10.0,0.0,2892.0
aed_high_threshold,18,3000,0.005,0.9773333333333334,0.017666666666666667,16.0,16.0,0.0,2881.0
aed_high_threshold,19,3000,0.020666666666666667,0.9603333333333334,0.019,63.0,63.0,0.0,2824.0
aed_no_boredom,0,3000,0.06433333333333334,0.926,0.009666666666666667,194.0,194.0,0.0,2748.0
aed_no_boredom,1,3000,0.030666666666666665,0.9636666666666667,0.005666666666666667,93.0,93.0,0.0,2873.0
aed_no_boredom,2,3000,0.028333333333333332,0.9676666666666667,0.004,86.0,86.0,0.0,2890.0
aed_no_boredom,3,3000,0.177,0.8186666666666667,0.004333333333333333,532.0,532.0,0.0,2442.0
aed_no_boredom,4,3000,0.06,0.9323333333333333,0.007666666666666666,181.0,181.0,0.0,2773.0
aed_no_boredom,5,3000,0.10166666666666667,0.8913333333333333,0.007,306.0,306.0,0.0,2652.0
aed_no_boredom,6,3000,0.09866666666666667,0.8943333333333333,0.007,297.0,297.0,0.0,2661.0
aed_no_boredom,7,3000,0.002,0.9933333333333333,0.004666666666666667,7.0,7.0,0.0,2965.0
aed_no_boredom,8,3000,0.008,0.9873333333333333,0.004666666666666667,25.0,25.0,0.0,2947.0
aed_no_boredom,9,3000,0.03333333333333333,0.9623333333333334,0.004333333333333333,101.0,101.0,0.0,2873.0
aed_no_boredom,10,3000,0.03266666666666666,0.96,0.007333333333333333,99.0,99.0,0.0,2857.0
aed_no_boredom,11,3000,0.161,0.8353333333333334,0.0036666666666666666,484.0,484.0,0.0,2494.0
aed_no_boredom,12,3000,0.0033333333333333335,0.9906666666666667,0.006,11.0,11.0,0.0,2953.0
aed_no_boredom,13,3000,0.05333333333333334,0.9386666666666666,0.008,161.0,161.0,0.0,2791.0
aed_no_boredom,14,3000,0.042,0.949,0.009,127.0,127.0,0.0,2819.0
aed_no_boredom,15,3000,0.07266666666666667,0.9193333333333333,0.008,219.0,219.0,0.0,2733.0
aed_no_boredom,16,3000,0.151,0.842,0.007,454.0,454.0,0.0,2504.0
aed_no_boredom,17,3000,0.003,0.9916666666666667,0.005333333333333333,10.0,10.0,0.0,2958.0
aed_no_boredom,18,3000,0.10766666666666666,0.8853333333333333,0.007,324.0,324.0,0.0,2635.0
aed_no_boredom,19,3000,0.028666666666666667,0.962,0.009333333333333334,87.0,87.0,0.0,2857.0
aed_no_mode_shift,0,3000,0.06433333333333334,0.926,0.009666666666666667,194.0,194.0,0.0,2748.0
aed_no_mode_shift,1,3000,0.030666666666666665,0.9636666666666667,0.005666666666666667,93.0,93.0,0.0,2873.0
aed_no_mode_shift,2,3000,0.028333333333333332,0.9676666666666667,0.004,86.0,86.0,0.0,2890.0
aed_no_mode_shift,3,3000,0.177,0.8186666666666667,0.004333333333333333,532.0,532.0,0.0,2442.0
aed_no_mode_shift,4,3000,0.06,0.9323333333333333,0.007666666666666666,181.0,181.0,0.0,2773.0
aed_no_mode_shift,5,3000,0.10166666666666667,0.8913333333333333,0.007,306.0,306.0,0.0,2652.0
aed_no_mode_shift,6,3000,0.09866666666666667,0.8943333333333333,0.007,297.0,297.0,0.0,2661.0
aed_no_mode_shift,7,3000,0.002,0.9933333333333333,0.004666666666666667,7.0,7.0,0.0,2965.0
aed_no_mode_shift,8,3000,0.008,0.9873333333333333,0.004666666666666667,25.0,25.0,0.0,2947.0
aed_no_mode_shift,9,3000,0.03333333333333333,0.9623333333333334,0.004333333333333333,101.0,101.0,0.0,2873.0
aed_no_mode_shift,10,3000,0.03266666666666666,0.96,0.007333333333333333,99.0,99.0,0.0,2857.0
aed_no_mode_shift,11,3000,0.161,0.8353333333333334,0.0036666666666666666,484.0,484.0,0.0,2494.0
aed_no_mode_shift,12,3000,0.0033333333333333335,0.9906666666666667,0.006,11.0,11.0,0.0,2953.0
aed_no_mode_shift,13,3000,0.05333333333333334,0.9386666666666666,0.008,161.0,161.0,0.0,2791.0
aed_no_mode_shift,14,3000,0.042,0.949,0.009,127.0,127.0,0.0,2819.0
aed_no_mode_shift,15,3000,0.07266666666666667,0.9193333333333333,0.008,219.0,219.0,0.0,2733.0
aed_no_mode_shift,16,3000,0.151,0.842,0.007,454.0,454.0,0.0,2504.0
aed_no_mode_shift,17,3000,0.003,0.9916666666666667,0.005333333333333333,10.0,10.0,0.0,2958.0
aed_no_mode_shift,18,3000,0.10766666666666666,0.8853333333333333,0.007,324.0,324.0,0.0,2635.0
aed_no_mode_shift,19,3000,0.028666666666666667,0.962,0.009333333333333334,87.0,87.0,0.0,2857.0
