method,seed,steps,occ_0,occ_1,occ_2,escape_time,first_puzzle_contact,mode_shifts,external_reward
aed,0,3000,0.017,0.8793333333333333,0.10366666666666667,52.0,52.0,1.0,2587.0
aed,1,3000,0.015666666666666666,0.9656666666666667,0.018666666666666668,48.0,48.0,1.0,2841.0
aed,2,3000,0.020666666666666667,0.9686666666666667,0.010666666666666666,63.0,63.0,1.0,2874.0
aed,3,3000,0.01633333333333333,0.96,0.023666666666666666,50.0,50.0,1.0,2818.0
aed,4,3000,0.01633333333333333,0.964,0.019666666666666666,50.0,50.0,1.0,2832.0
aed,5,3000,0.015333333333333332,0.9653333333333334,0.019333333333333334,47.0,47.0,1.0,2838.0
aed,6,3000,0.029,0.9486666666666667,0.022333333333333334,88.0,88.0,1.0,2787.0
aed,7,3000,0.002,0.9856666666666667,0.012333333333333333,7.0,7.0,0.0,2920.0
aed,8,3000,0.008,0.9733333333333334,0.018666666666666668,25.0,25.0,1.0,2867.0
aed,9,3000,0.0036666666666666666,0.9813333333333333,0.015,12.0,12.0,1.0,2903.0
aed,10,3000,0.016,0.9676666666666667,0.01633333333333333,49.0,49.0,1.0,2855.0
aed,11,3000,0.001,0.9826666666666667,0.01633333333333333,4.0,4.0,1.0,2899.0
aed,12,3000,0.0033333333333333335,0.9803333333333333,0.01633333333333333,11.0,11.0,0.0,2892.0
aed,13,3000,0.018666666666666668,0.9613333333333334,0.02,57.0,57.0,1.0,2826.0
aed,14,3000,0.019,0.959,0.022,58.0,58.0,1.0,2810.0
aed,15,3000,0.001,0.9786666666666667,0.02033333333333333,4.0,4.0,0.0,2875.0
aed,16,3000,0.02033333333333333,0.9623333333333334,0.017333333333333333,62.0,62.0,1.0,2836.0
aed,17,3000,0.003,0.9806666666666667,0.01633333333333333,10.0,10.0,0.0,2892.0
aed,18,3000,0.005,0.9773333333333334,0.017666666666666667,16.0,16.0,0.0,2881.0
aed,19,3000,0.016666666666666666,0.963,0.02033333333333333,51.0,51.0,1.0,2828.0
curiosity,0,3000,0.08966666666666667,0.9093333333333333,0.001,270.0,270.0,0.0,2724.0
curiosity,1,3000,0.443,0.557,0.0,1330.0,1330.0,0.0,1670.0
curiosity,2,3000,0.9843333333333333,0.015666666666666666,0.0,2954.0,2954.0,0.0,46.0
curiosity,3,3000,1.0,0.0,0.0,3000.0,3000.0,0.0,0.0
curiosity,4,3000,0.32166666666666666,0.6783333333333333,0.0,966.0,966.0,0.0,2034.0
curiosity,5,3000,0.06766666666666667,0.9323333333333333,0.0,204.0,204.0,0.0,2796.0
curiosity,6,3000,0.32466666666666666,0.6753333333333333,0.0,975.0,975.0,0.0,2025.0
curiosity,7,3000,1.0,0.0,0.0,3000.0,3000.0,0.0,0.0
curiosity,8,3000,0.467,0.533,0.0,1402.0,1402.0,0.0,1598.0
curiosity,9,3000,0.51,0.49,0.0,1531.0,1531.0,0.0,1469.0
curiosity,10,3000,0.13466666666666666,0.865,0.0003333333333333333,405.0,405.0,0.0,2593.0
curiosity,11,3000,0.36133333333333334,0.6386666666666667,0.0,1085.0,1085.0,0.0,1915.0
curiosity,12,3000,1.0,0.0,0.0,3000.0,3000.0,0.0,0.0
curiosity,13,3000,0.4806666666666667,0.5193333333333333,0.0,1443.0,1443.0,0.0,1557.0
curiosity,14,3000,1.0,0.0,0.0,3000.0,3000.0,0.0,0.0
curiosity,15,3000,0.6106666666666667,0.3893333333333333,0.0,1833.0,1833.0,0.0,1167.0
curiosity,16,3000,1.0,0.0,0.0,3000.0,3000.0,0.0,0.0
curiosity,17,3000,0.16366666666666665,0.8363333333333334,0.0,492.0,492.0,0.0,2508.0
curiosity,18,3000,0.8723333333333333,0.12766666666666668,0.0,2618.0,2618.0,0.0,382.0
curiosity,19,3000,0.41833333333333333,0.5816666666666667,0.0,1256.0,1256.0,0.0,1744.0
extrinsic,0,3000,0.0036666666666666666,0.995,0.0013333333333333333,12.0,12.0,0.0,2980.0
extrinsic,1,3000,0.15233333333333332,0.8473333333333334,0.0003333333333333333,458.0,458.0,0.0,2540.0
extrinsic,2,3000,0.276,0.723,0.001,829.0,829.0,0.0,2165.0
extrinsic,3,3000,0.15666666666666668,0.8426666666666667,0.0006666666666666666,471.0,471.0,0.0,2525.0
extrinsic,4,3000,0.19666666666666666,0.8023333333333333,0.001,591.0,591.0,0.0,2403.0
extrinsic,5,3000,0.029,0.9696666666666667,0.0013333333333333333,88.0,88.0,0.0,2904.0
extrinsic,6,3000,0.198,0.8,0.002,595.0,595.0,0.0,2393.0
extrinsic,7,3000,0.012333333333333333,0.9873333333333333,0.0003333333333333333,38.0,38.0,0.0,2960.0
extrinsic,8,3000,0.11433333333333333,0.8846666666666667,0.001,344.0,344.0,0.0,2650.0
extrinsic,9,3000,0.22333333333333333,0.776,0.0006666666666666666,671.0,671.0,0.0,2325.0
extrinsic,10,3000,0.13466666666666666,0.8633333333333333,0.002,405.0,405.0,0.0,2583.0
extrinsic,11,3000,0.10966666666666666,0.889,0.0013333333333333333,330.0,330.0,0.0,2662.0
extrinsic,12,3000,0.0033333333333333335,0.996,0.0006666666666666666,11.0,11.0,0.0,2985.0
extrinsic,13,3000,0.05333333333333334,0.945,0.0016666666666666668,161.0,161.0,0.0,2829.0
extrinsic,14,3000,0.07066666666666667,0.9283333333333333,0.001,213.0,213.0,0.0,2781.0
extrinsic,15,3000,0.186,0.812,0.002,559.0,559.0,0.0,2429.0
extrinsic,16,3000,0.18533333333333332,0.8126666666666666,0.002,557.0,557.0,0.0,2431.0
extrinsic,17,3000,0.053,0.945,0.002,160.0,160.0,0.0,2828.0
extrinsic,18,3000,0.109,0.8893333333333333,0.0016666666666666668,328.0,328.0,0.0,2662.0
extrinsic,19,3000,0.3383333333333333,0.6596666666666666,0.002,1016.0,1016.0,0.0,1972.0
